date,title,artist,genre,duration,release_date,lyrics,identifier,gender,age
17/08/2022,Heart won't let me,LANY,Alternative/Indie,03:19,02/10/2020,heart wont let me lyrics you and i always fight 'bout the same old thing in the car at the bar by the kitchen sink you used to say you want me now we just say sorry you and i always fight 'bout the same old thing  pre i should've probably already left but i never listen to my head   say i'm gonna go can't take it anymore keys are in my hands got one foot out the door every time i try every time i try to leave my heart won't let me  not okay god i hate hate the place we're in but i forget for a sec when i kiss your lips  pre i should've probably already left but i never listen to my head   say i'm gonna go can't take it anymore keys are in my hand got one foot out the door every time i try every time i try to leave my heart won't let me be the one to quit i know it's gonna hurt lyin' to myself will only make it worse every time i try every time i try to leave my heart won't let me  post ooh ooh my heart won't let me ooh ooh   you used to say you want me now we just say sorry why can't i just walk away  say i'm gonna go can't take it anymore keys are in my hand got one foot out the door every time i try every time i try to leave my heart won't let me be the one to quit i know it's gonna hurt lyin' to myself will only make it worse every time i try every time i try to leave my heart won't let me  post ooh ooh my heart won't let me ooh ooh my heart won't let me,Javier Pena,Male,30
17/08/2022,A Sky Full of Stars,Coldplay,Alternative Rock,04:29,02/05/2014,a sky full of stars lyrics 'cause you're a sky 'cause you're a sky full of stars i'm gonna give you my heart 'cause you're a sky 'cause you're a sky full of stars 'cause you light up the path  i don't care go on and tear me apart i don't care if you do oohooh ooh 'cause in a sky 'cause in a sky full of stars i think i saw you oohoohooh oohoohooh 'cause you're a sky 'cause you're a sky full of stars i wanna die in your arms ohohoh ohoh 'cause you get lighter the more it gets dark i'm gonna give you my heart oh  i don't care go on and tear me apart i don't care if you do oohooh ooh 'cause in a sky 'cause in a sky full of stars i think i see you oohoohooh oohoohooh i think i see you oohoohooh oohoohooh  'cause you're a sky you're a sky full of stars such a heavenly view you're such a heavenly view yeah yeah yeah ooh9embed,Javier Pena,Male,30
17/08/2022,Your name,Demxntia,Soul,02:35,07/04/2018,dancing beneath the starlight i was following your lead just you and i within the limelight wherever that may be  getting lost in each other theres nothing we cant do doesnt matter where we are as long as i am here with you  mesmerized inside your eyes a feeling like a dream a far off memory i wanna line up the pieces for you and me a feeling oh so distant like the sound of my alarm and now i wonder why im cold when i still have you in my arms  and we have a connection but i can only see your face at night and i miss your affection i remember when your hand was holding mine  i followed you in the dark a death cab for cutie were worlds apart but it felt like you knew me  and i dont think i ever caught your name and i dont think ill ever be the same  and now im feeling so anxious a part of me is missing spent all my time in the night still wishing to see your face again i dont want to forget the time i loved a girl that id never meetembed,Javier Pena,Male,30
18/08/2022,She knows,Demxntia,Soul,03:40,30/09/2017,take me back to the days of our adolescence skipping class everyday never learned my lesson i was walking back home on these roads fulla holes with the wind passing by feeling cold yeah that was the night that we met at first would we still talk in a few years i wasn't sure it didn't mean much cause of how young we were now i'm biting my tongue at the thought of her i wish that my feelings were fake but i felt pain when she said his name and i know that my feelings ain't fake cause i go insane when i hear his name she sayin' she fine but i know that she's tired it's funny cause i know that she ain't the greatest liar she seems to glow brighter at times that i dim guess i can't beat conversations with him but pre she could do better and i know it yeah ayy if you listenin' just know that you can do better and you know it lemme ask you   so why you still fuckin' with lames girl you know he's not in your lane girl know i won't do you the same girl seein' you drives me insane girl does he make you laugh in the same way when he's on the phone ain't it dull and grey you havin' more fun when you with me babe do you feel content or is it just okay  tell me why you still fuckin' with lames girl you know he's not in your lane girl know i won't do you the same girl seein' you drives me insane girl does he make you laugh in the same way when he's on the phone ain't it dull and grey are you havin' more fun when you with me babe do you feel content or is it just okay  don't settle for less when you know you the best be true to yourself is my only request i already know you not easily impressed i ain't mean to hurt feelin's but i must express that he ain't worth your time there's no need to be stressed i love every time that you rockin' your dress you a blessin' yeah i can do anything he can and i can do everything he can't   you can do better and you know it babe and you know it babe you could do it better and you know it babe  one more time   so why you still fuckin' with lames girl you know he's not in your lane girl know i won't do you the same girl seein' you drives me insane girl does he make you laugh in the same way when he's on the phone ain't it dull and grey you havin' more fun when you with me babe do you feel content or is it just okay tell me why you still fuckin' with lames girl you know he's not in your lane girl know i won't do you the same girl seein' you drives me insane girl does he make you laugh in the same way when he's on the phone ain't it dull and grey are you havin' more fun when you with me babe do you feel content or is it just okay  tell me why you still fuckin' with lames girl you know he's not in your lane girl know i won't do you the same girl seein' you drives me insane girl does he make you laugh in the same way when he's on the phone ain't it dull and grey are you havin' more fun5embed,Javier Pena,Male,30
18/08/2022,ILYSB,LANY,Alternative/Indie,04:05,11/12/2015,ilysb stripped lyrics ain't never felt this way can't get enough so stay with me it's not like we got big plans oh let's drive around town holding hands  pre and you need to know you're the only one alright alright and you need to know that you keep me up all night all night yeah  oh my heart hurts so good i love you babe so bad so bad oh yeah oh my heart hurts so good i love you babe so bad so bad oh yeah   mad cool in all my clothes mad warm when you get closeto me slow dance these summer nights our disco ball's my kitchen light  pre and you need to know that nobody could take your place your place and you need to know that i'm hella obsessed with your face your face yeah   oh my heart hurts so good i love you babe so bad so bad oh yeah oh my heart hurts so good i love you babe so bad so bad oh yeah  pre and you need to know you're the only one alright alright and you need to know that you keep me up all night all night  oh my heart hurts so good i love you babe so bad so bad oh yeah oh my heart hurts so good i love you babe so bad so bad ooh ooh so bad oh oh my heart hurts oh my heart hurts oh my heart hurts so bad oh yeah8embed,Javier Pena,Male,30
18/08/2022,Thick and Thin,LANY,Alternative/Indie,03:32,11/09/2018,thick and thin lyrics late night your eyes fell to the floor i'm trying to make sense but you're losing your patience hands talk won't stop we go to war in the heat of the moment you think that we're broken  pre i could see my whole life with you baby now you got me thinking that i'm crazy 'cause you're  out the door just one mistake you say you're not in love no more but was it really love if you can leave me for something so innocent is this the end thought you'd be there through thick and thin ohooh ohooh   can't sleep can't eat my mind's a mess what are you thinking you were happy last weekend all the good times how'd you forget i was your best friend yeah remember when you said  pre you could see your whole life with me baby now you got me thinking that i'm crazy 'cause you're   out the door just one mistake you say you're not in love no more but was it really love if you can leave me for something so innocent is this the end thought you'd be there through thick and thin ohooh thought you'd be there through thick and thin ohooh thought you'd be there through thick and thin ohooh thought you'd be there through thick and thin ohooh  said you'd be there for me through everything said that you'd have my back with anything said you'd be there for me through everything said that you'd have my back with anything   now you're out the door just one mistake you say you're not in love no more love no more but was it really love if you can leave me for leave me for something so innocent is this the end is this the end thought you'd be there through thick and thin ohooh out the door just one mistake you say you're not in love no more ohooh but was it really love if you can leave me for ohooh something so innocent is this the end ohooh thought you'd be there through thick and thin ohooh   said you'd be there for me through everything thick and thin said that you'd have my back with anything thick and thin said you'd be there for me through everything thick and thin said that you'd have my back with anything thick and thin8embed,Javier Pena,Male,30
19/08/2022,Heart won't let me,LANY,Alternative/Indie,03:19,02/10/2020,heart wont let me lyrics you and i always fight 'bout the same old thing in the car at the bar by the kitchen sink you used to say you want me now we just say sorry you and i always fight 'bout the same old thing  pre i should've probably already left but i never listen to my head   say i'm gonna go can't take it anymore keys are in my hands got one foot out the door every time i try every time i try to leave my heart won't let me  not okay god i hate hate the place we're in but i forget for a sec when i kiss your lips  pre i should've probably already left but i never listen to my head   say i'm gonna go can't take it anymore keys are in my hand got one foot out the door every time i try every time i try to leave my heart won't let me be the one to quit i know it's gonna hurt lyin' to myself will only make it worse every time i try every time i try to leave my heart won't let me  post ooh ooh my heart won't let me ooh ooh   you used to say you want me now we just say sorry why can't i just walk away  say i'm gonna go can't take it anymore keys are in my hand got one foot out the door every time i try every time i try to leave my heart won't let me be the one to quit i know it's gonna hurt lyin' to myself will only make it worse every time i try every time i try to leave my heart won't let me  post ooh ooh my heart won't let me ooh ooh my heart won't let meembed,Javier Pena,Male,30
19/08/2022,Learn to Fly,Foo Fighters,Alternative Rock,03:56,18/09/1999,learn to fly lyrics run and tell all of the angels this could take all night think i need a devil to help me get things right hook me up a new revolution 'cause this one is a lie we sat around laughing and watched the last one die  now i'm looking to the sky to save me looking for a sign of life looking for something to help me burn out bright i'm looking for a complication looking cause i'm tired of lying make my way back home when i learn to fly high i think i'm done nursing the patience it can wait one night i'd give it all away if you give me one last try we'll live happily ever trapped if you just save my life run and tell the angels that everything's alright now i'm looking to the sky to save me looking for a sign of life looking for something to help me burn out bright i'm looking for a complication looking cause i'm tired of trying make my way back home when i learn to fly high make my way back home when i learn to  fly along with me i can't quite make it alone try to make this life my own fly along with me i can't quite make it alone try to make this life my own i'm looking to the sky to save me looking for a sign of life looking for something to help me burn out bright i'm looking for a complication looking cause i'm tired of trying make my way back home when i learn to i'm looking to the sky to save me looking for a sign of life looking for something to help me burn out bright i'm looking for a complication looking cause i'm tired of trying make my way back home when i learn to fly high make my way back home when i learn to fly make my way back home when i learn to0embed,Javier Pena,Male,30
19/08/2022,Dancing in the kitchen,LANY,Alternative/Indie,03:28,25/06/2021,dancing in the kitchen lyrics city lights looking like ice underneath the stars beautiful but i'd rather be right here where we are go and tell your friends we're running late again what you think pour another drink and call off the car  pre i could spend a thousand nights right here inside this room   mhm swear the only one i want is you and it doesn't matter what we do we could have nothing at all and it'd still feel like nothing's missing now we're moving like we're on the moon dom pérignon drip on our shoes we could fly around the world but we always end up dancing in the kitchen dancing in the kitchen  i don't mind if this whole town goes up in flames as long as i got you with me i'ma be okay slide across the floor i'm forever yours yeah what you think pour another drink put it on replay  pre i could spend a thousand nights right here inside this room   mhm swear the only one i want is you and it doesn't matter what we do we could have nothing at all and it'd still feel like nothing's missing now we're moving like we're on the moon dom pérignon drip on our shoes we could fly around the world but we always end up dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen   i could spend a thousand nights right here inside this room tell me baby if you feel the same way that i do   mhm swear the only one i want is you and it doesn't matter what we do we could have nothing at all and it'd still feel like nothing's missing now we're moving like we're on the moon dom pérignon drip on our shoes we could fly around the world but we always end up dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchenembed,Javier Pena,Male,30
20/08/2022,if this is the last time,LANY,Alternative/Indie,03:23,01/07/2020,if this is the last time lyrics hey mom i know we're gettin' old and the lines on our hands have changed but you still look at me the same hey mom guess what you're really tough and i know you did all you could just to make sure my life was good  pre sorry for the fights and the tone of my voice sorry for the nights when i made the wrong choice life is flyin' by and it's hittin' me now i hope it's not but  if this is the last time please come close i love you with all my heart you know i don't wanna cry i'm bad at goodbye if this is the last time then let's do the things we always do like go to the mall and buy some shoes i don't wanna cry i'm bad at goodbye if this is the last time   hey dad what's up miss you so much yeah the shade of your hair has changed but i look up to you the same  pre taught me how to fish taught me how to ride a bike taught me how to love how to treat a woman right life is flyin' by and it's hittin' me now i hope it's not but   if this is the last time please come close i love you with all my heart you know i don't wanna cry i'm bad at goodbye if this is the last time then let's do the things we always do like go for a drive or watch the news i don't wanna cry i'm bad at goodbye if this is the last time  hey you sit back don't go so fast   if this is the last time please come close i love you with all my heart you know i don't wanna cry i'm bad at goodbye if this is the last time so let's do the things we always do or maybe we try something brand new i don't wanna cry i'm bad at goodbye if this is the last time   if this is the last time if this is the last time oh if this is the last time if this is the last time if this is the last time oh if this is the last timeembed,Javier Pena,Male,30
